#    L    TT             EE             BB             TE             PP             TP             EP          
   107   0.285746E+04   0.826003E+00   0.000000E+00  -0.269894E+02   0.895522E-07   0.355080E-03  -0.637546E-06
   108   0.288946E+04   0.838494E+00   0.000000E+00  -0.276149E+02   0.889559E-07   0.350956E-03  -0.606021E-06
   109   0.292162E+04   0.850696E+00   0.000000E+00  -0.282368E+02   0.883639E-07   0.346895E-03  -0.578779E-06
   110   0.295384E+04   0.862609E+00   0.000000E+00  -0.288535E+02   0.877763E-07   0.342894E-03  -0.556784E-06
   111   0.298622E+04   0.874308E+00   0.000000E+00  -0.294666E+02   0.871932E-07   0.338948E-03  -0.540763E-06
   112   0.301874E+04   0.885719E+00   0.000000E+00  -0.300753E+02   0.866144E-07   0.335057E-03  -0.530496E-06
   113   0.305149E+04   0.896843E+00   0.000000E+00  -0.306782E+02   0.860401E-07   0.331221E-03  -0.525525E-06
   114   0.308430E+04   0.907606E+00   0.000000E+00  -0.312744E+02   0.854701E-07   0.327439E-03  -0.525392E-06
   115   0.311734E+04   0.918157E+00   0.000000E+00  -0.318639E+02   0.849045E-07   0.323712E-03  -0.529640E-06
   116   0.315037E+04   0.928273E+00   0.000000E+00  -0.324461E+02   0.843434E-07   0.320039E-03  -0.537814E-06
   117   0.318369E+04   0.938028E+00   0.000000E+00  -0.330201E+02   0.837865E-07   0.316421E-03  -0.549456E-06
   118   0.321715E+04   0.947572E+00   0.000000E+00  -0.335866E+02   0.832340E-07   0.312857E-03  -0.564109E-06
   119   0.325061E+04   0.956757E+00   0.000000E+00  -0.341435E+02   0.826859E-07   0.309347E-03  -0.581318E-06
   120   0.328420E+04   0.965434E+00   0.000000E+00  -0.346907E+02   0.821421E-07   0.305892E-03  -0.600628E-06
   121   0.331779E+04   0.973900E+00   0.000000E+00  -0.352281E+02   0.816026E-07   0.302491E-03  -0.621581E-06
   122   0.335143E+04   0.981859E+00   0.000000E+00  -0.357550E+02   0.810674E-07   0.299144E-03  -0.643724E-06
   123   0.338515E+04   0.989385E+00   0.000000E+00  -0.362714E+02   0.805366E-07   0.295852E-03  -0.666600E-06
   124   0.341892E+04   0.996554E+00   0.000000E+00  -0.367744E+02   0.800100E-07   0.292614E-03  -0.689755E-06
   125   0.345268E+04   0.100329E+01   0.000000E+00  -0.372661E+02   0.794878E-07   0.289429E-03  -0.712734E-06
   126   0.348649E+04   0.100967E+01   0.000000E+00  -0.377457E+02   0.789698E-07   0.286299E-03  -0.735082E-06
   127   0.352030E+04   0.101554E+01   0.000000E+00  -0.382125E+02   0.784561E-07   0.283223E-03  -0.756345E-06
   128   0.355408E+04   0.102106E+01   0.000000E+00  -0.386657E+02   0.779467E-07   0.280201E-03  -0.776068E-06
   129   0.358792E+04   0.102607E+01   0.000000E+00  -0.391047E+02   0.774416E-07   0.277233E-03  -0.793796E-06
   130   0.362174E+04   0.103058E+01   0.000000E+00  -0.395285E+02   0.769407E-07   0.274319E-03  -0.809077E-06
   131   0.365554E+04   0.103473E+01   0.000000E+00  -0.399388E+02   0.764441E-07   0.271459E-03  -0.821562E-06
   132   0.368940E+04   0.103838E+01   0.000000E+00  -0.403325E+02   0.759517E-07   0.268651E-03  -0.831330E-06
   133   0.372317E+04   0.104160E+01   0.000000E+00  -0.407119E+02   0.754634E-07   0.265893E-03  -0.838565E-06
   134   0.375692E+04   0.104439E+01   0.000000E+00  -0.410726E+02   0.749794E-07   0.263185E-03  -0.843452E-06
   135   0.379065E+04   0.104667E+01   0.000000E+00  -0.414176E+02   0.744995E-07   0.260523E-03  -0.846175E-06
   136   0.382422E+04   0.104845E+01   0.000000E+00  -0.417433E+02   0.740237E-07   0.257908E-03  -0.846919E-06
   137   0.385778E+04   0.104981E+01   0.000000E+00  -0.420518E+02   0.735519E-07   0.255336E-03  -0.845869E-06
   138   0.389125E+04   0.105066E+01   0.000000E+00  -0.423418E+02   0.730842E-07   0.252807E-03  -0.843207E-06
   139   0.392449E+04   0.105116E+01   0.000000E+00  -0.426126E+02   0.726204E-07   0.250319E-03  -0.839119E-06
   140   0.395780E+04   0.105109E+01   0.000000E+00  -0.428648E+02   0.721607E-07   0.247869E-03  -0.833789E-06
   141   0.399087E+04   0.105051E+01   0.000000E+00  -0.430964E+02   0.717049E-07   0.245457E-03  -0.827401E-06
   142   0.402394E+04   0.104951E+01   0.000000E+00  -0.433082E+02   0.712529E-07   0.243081E-03  -0.820138E-06
   143   0.405693E+04   0.104808E+01   0.000000E+00  -0.435000E+02   0.708049E-07   0.240739E-03  -0.812185E-06
   144   0.408969E+04   0.104615E+01   0.000000E+00  -0.436713E+02   0.703607E-07   0.238430E-03  -0.803725E-06
   145   0.412231E+04   0.104387E+01   0.000000E+00  -0.438214E+02   0.699203E-07   0.236151E-03  -0.794943E-06
   146   0.415499E+04   0.104102E+01   0.000000E+00  -0.439502E+02   0.694838E-07   0.233902E-03  -0.786022E-06
   147   0.418730E+04   0.103781E+01   0.000000E+00  -0.440563E+02   0.690509E-07   0.231680E-03  -0.777145E-06
   148   0.421947E+04   0.103411E+01   0.000000E+00  -0.441413E+02   0.686218E-07   0.229485E-03  -0.768498E-06
   149   0.425156E+04   0.102998E+01   0.000000E+00  -0.442037E+02   0.681964E-07   0.227313E-03  -0.760262E-06
   150   0.428336E+04   0.102550E+01   0.000000E+00  -0.442413E+02   0.677747E-07   0.225164E-03  -0.752622E-06
   151   0.431502E+04   0.102060E+01   0.000000E+00  -0.442572E+02   0.673566E-07   0.223037E-03  -0.745720E-06
   152   0.434638E+04   0.101520E+01   0.000000E+00  -0.442497E+02   0.669420E-07   0.220931E-03  -0.739536E-06
   153   0.437760E+04   0.100945E+01   0.000000E+00  -0.442168E+02   0.665311E-07   0.218846E-03  -0.734008E-06
   154   0.440860E+04   0.100336E+01   0.000000E+00  -0.441606E+02   0.661238E-07   0.216782E-03  -0.729073E-06
   155   0.443938E+04   0.996906E+00   0.000000E+00  -0.440803E+02   0.657199E-07   0.214739E-03  -0.724670E-06
   156   0.446978E+04   0.990106E+00   0.000000E+00  -0.439760E+02   0.653196E-07   0.212718E-03  -0.720738E-06
   157   0.450012E+04   0.982954E+00   0.000000E+00  -0.438462E+02   0.649228E-07   0.210718E-03  -0.717215E-06
   158   0.453015E+04   0.975525E+00   0.000000E+00  -0.436916E+02   0.645293E-07   0.208740E-03  -0.714039E-06
   159   0.455989E+04   0.967671E+00   0.000000E+00  -0.435122E+02   0.641394E-07   0.206783E-03  -0.711148E-06
   160   0.458941E+04   0.959538E+00   0.000000E+00  -0.433065E+02   0.637528E-07   0.204848E-03  -0.708481E-06
   161   0.461869E+04   0.951201E+00   0.000000E+00  -0.430760E+02   0.633696E-07   0.202934E-03  -0.705976E-06
   162   0.464768E+04   0.942512E+00   0.000000E+00  -0.428208E+02   0.629897E-07   0.201042E-03  -0.703571E-06
   163   0.467652E+04   0.933544E+00   0.000000E+00  -0.425392E+02   0.626132E-07   0.199172E-03  -0.701205E-06
   164   0.470490E+04   0.924371E+00   0.000000E+00  -0.422327E+02   0.622399E-07   0.197324E-03  -0.698817E-06
   165   0.473313E+04   0.914919E+00   0.000000E+00  -0.418993E+02   0.618699E-07   0.195498E-03  -0.696344E-06
   166   0.476106E+04   0.905335E+00   0.000000E+00  -0.415402E+02   0.615032E-07   0.193694E-03  -0.693725E-06
   167   0.478876E+04   0.895397E+00   0.000000E+00  -0.411563E+02   0.611397E-07   0.191912E-03  -0.690899E-06
   168   0.481600E+04   0.885476E+00   0.000000E+00  -0.407454E+02   0.607793E-07   0.190151E-03  -0.687804E-06
   169   0.484294E+04   0.875275E+00   0.000000E+00  -0.403073E+02   0.604222E-07   0.188414E-03  -0.684379E-06
   170   0.486958E+04   0.865015E+00   0.000000E+00  -0.398437E+02   0.600682E-07   0.186698E-03  -0.680561E-06
   171   0.489576E+04   0.854697E+00   0.000000E+00  -0.393522E+02   0.597172E-07   0.185005E-03  -0.676290E-06
   172   0.492155E+04   0.844245E+00   0.000000E+00  -0.388344E+02   0.593694E-07   0.183334E-03  -0.671504E-06
   173   0.494689E+04   0.833660E+00   0.000000E+00  -0.382903E+02   0.590247E-07   0.181685E-03  -0.666142E-06
   174   0.497192E+04   0.823239E+00   0.000000E+00  -0.377197E+02   0.586829E-07   0.180059E-03  -0.660141E-06
   175   0.499657E+04   0.812684E+00   0.000000E+00  -0.371221E+02   0.583443E-07   0.178455E-03  -0.653442E-06
   176   0.502068E+04   0.802217E+00   0.000000E+00  -0.364973E+02   0.580085E-07   0.176874E-03  -0.645997E-06
   177   0.504441E+04   0.791763E+00   0.000000E+00  -0.358469E+02   0.576758E-07   0.175316E-03  -0.637825E-06
   178   0.506768E+04   0.781545E+00   0.000000E+00  -0.351694E+02   0.573460E-07   0.173778E-03  -0.628960E-06
   179   0.509049E+04   0.771265E+00   0.000000E+00  -0.344649E+02   0.570190E-07   0.172262E-03  -0.619435E-06
