#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    64   0.167540E+04  -0.335353E+01   0.656283E-03  -0.335353E+01   0.241156E+00  -0.411200E-06   0.656283E-03  -0.411200E-06   0.118176E-06
    65   0.169798E+04  -0.372300E+01   0.644815E-03  -0.372300E+01   0.252354E+00  -0.395191E-06   0.644815E-03  -0.395191E-06   0.117491E-06
    66   0.172088E+04  -0.410636E+01   0.633425E-03  -0.410636E+01   0.263750E+00  -0.389667E-06   0.633425E-03  -0.389667E-06   0.116803E-06
    67   0.174394E+04  -0.450078E+01   0.622195E-03  -0.450078E+01   0.275346E+00  -0.395994E-06   0.622195E-03  -0.395994E-06   0.116114E-06
    68   0.176743E+04  -0.490446E+01   0.611227E-03  -0.490446E+01   0.287185E+00  -0.415409E-06   0.611227E-03  -0.415409E-06   0.115422E-06
    69   0.179111E+04  -0.531552E+01   0.600624E-03  -0.531552E+01   0.299225E+00  -0.449153E-06   0.600624E-03  -0.449153E-06   0.114730E-06
    70   0.181508E+04  -0.573551E+01   0.590490E-03  -0.573551E+01   0.311508E+00  -0.498464E-06   0.590490E-03  -0.498464E-06   0.114037E-06
    71   0.183920E+04  -0.616675E+01   0.580897E-03  -0.616675E+01   0.324024E+00  -0.562496E-06   0.580897E-03  -0.562496E-06   0.113343E-06
    72   0.186349E+04  -0.661066E+01   0.571796E-03  -0.661066E+01   0.336747E+00  -0.632059E-06   0.571796E-03  -0.632059E-06   0.112649E-06
    73   0.188793E+04  -0.706793E+01   0.563111E-03  -0.706793E+01   0.349642E+00  -0.695878E-06   0.563111E-03  -0.695878E-06   0.111955E-06
    74   0.191257E+04  -0.753777E+01   0.554761E-03  -0.753777E+01   0.362697E+00  -0.742675E-06   0.554761E-03  -0.742675E-06   0.111261E-06
    75   0.193752E+04  -0.801882E+01   0.546670E-03  -0.801882E+01   0.375924E+00  -0.761176E-06   0.546670E-03  -0.761176E-06   0.110566E-06
    76   0.196275E+04  -0.851049E+01   0.538765E-03  -0.851049E+01   0.389323E+00  -0.744087E-06   0.538765E-03  -0.744087E-06   0.109871E-06
    77   0.198830E+04  -0.901263E+01   0.531006E-03  -0.901263E+01   0.402886E+00  -0.700046E-06   0.531006E-03  -0.700046E-06   0.109176E-06
    78   0.201422E+04  -0.952662E+01   0.523359E-03  -0.952662E+01   0.416638E+00  -0.641674E-06   0.523359E-03  -0.641674E-06   0.108482E-06
    79   0.204031E+04  -0.100486E+02   0.515788E-03  -0.100486E+02   0.430525E+00  -0.581591E-06   0.515788E-03  -0.581591E-06   0.107788E-06
    80   0.206668E+04  -0.105801E+02   0.508259E-03  -0.105801E+02   0.444550E+00  -0.532417E-06   0.508259E-03  -0.532417E-06   0.107096E-06
    81   0.209323E+04  -0.111214E+02   0.500752E-03  -0.111214E+02   0.458663E+00  -0.504310E-06   0.500752E-03  -0.504310E-06   0.106405E-06
    82   0.212002E+04  -0.116716E+02   0.493296E-03  -0.116716E+02   0.472886E+00  -0.497579E-06   0.493296E-03  -0.497579E-06   0.105717E-06
    83   0.214700E+04  -0.122302E+02   0.485935E-03  -0.122302E+02   0.487193E+00  -0.510070E-06   0.485935E-03  -0.510070E-06   0.105030E-06
    84   0.217425E+04  -0.127953E+02   0.478713E-03  -0.127953E+02   0.501582E+00  -0.539626E-06   0.478713E-03  -0.539626E-06   0.104346E-06
    85   0.220161E+04  -0.133679E+02   0.471674E-03  -0.133679E+02   0.516028E+00  -0.584096E-06   0.471674E-03  -0.584096E-06   0.103665E-06
    86   0.222917E+04  -0.139469E+02   0.464850E-03  -0.139469E+02   0.530542E+00  -0.640818E-06   0.464850E-03  -0.640818E-06   0.102986E-06
    87   0.225716E+04  -0.145316E+02   0.458236E-03  -0.145316E+02   0.545095E+00  -0.705116E-06   0.458236E-03  -0.705116E-06   0.102310E-06
    88   0.228512E+04  -0.151220E+02   0.451817E-03  -0.151220E+02   0.559701E+00  -0.771808E-06   0.451817E-03  -0.771808E-06   0.101638E-06
