#    L    TT             EE             BB             TE          
   301   0.392356E+04   0.904840E+01   0.247403E-01   0.116108E+03
   302   0.389060E+04   0.922152E+01   0.248584E-01   0.116397E+03
   303   0.385757E+04   0.939608E+01   0.249758E-01   0.116642E+03
   304   0.382447E+04   0.957207E+01   0.250925E-01   0.116844E+03
   305   0.379138E+04   0.974802E+01   0.252086E-01   0.117017E+03
   306   0.375821E+04   0.992467E+01   0.253241E-01   0.117154E+03
   307   0.372505E+04   0.101020E+02   0.254389E-01   0.117247E+03
   308   0.369190E+04   0.102816E+02   0.255530E-01   0.117318E+03
   309   0.365882E+04   0.104603E+02   0.256665E-01   0.117338E+03
   310   0.362567E+04   0.106390E+02   0.257793E-01   0.117330E+03
   311   0.359259E+04   0.108200E+02   0.258915E-01   0.117278E+03
   312   0.355959E+04   0.110001E+02   0.260030E-01   0.117196E+03
   313   0.352660E+04   0.111810E+02   0.261139E-01   0.117072E+03
   314   0.349368E+04   0.113625E+02   0.262241E-01   0.116918E+03
   315   0.346084E+04   0.115433E+02   0.263336E-01   0.116720E+03
   316   0.342807E+04   0.117248E+02   0.264425E-01   0.116487E+03
   317   0.339538E+04   0.119056E+02   0.265507E-01   0.116217E+03
   318   0.336276E+04   0.120878E+02   0.266583E-01   0.115910E+03
   319   0.333029E+04   0.122693E+02   0.267653E-01   0.115567E+03
   320   0.329798E+04   0.124507E+02   0.268716E-01   0.115196E+03
   321   0.326573E+04   0.126329E+02   0.269772E-01   0.114781E+03
   322   0.323364E+04   0.128135E+02   0.270822E-01   0.114329E+03
   323   0.320169E+04   0.129942E+02   0.271866E-01   0.113841E+03
   324   0.316989E+04   0.131756E+02   0.272904E-01   0.113309E+03
   325   0.313831E+04   0.133540E+02   0.273936E-01   0.112756E+03
   326   0.310681E+04   0.135339E+02   0.274961E-01   0.112151E+03
   327   0.307553E+04   0.137130E+02   0.275980E-01   0.111518E+03
   328   0.304446E+04   0.138907E+02   0.276994E-01   0.110856E+03
   329   0.301355E+04   0.140683E+02   0.278001E-01   0.110150E+03
   330   0.298285E+04   0.142445E+02   0.279003E-01   0.109407E+03
   331   0.295245E+04   0.144199E+02   0.279999E-01   0.108636E+03
   332   0.292220E+04   0.145954E+02   0.280990E-01   0.107836E+03
   333   0.289216E+04   0.147694E+02   0.281975E-01   0.106999E+03
   334   0.286242E+04   0.149426E+02   0.282955E-01   0.106126E+03
   335   0.283282E+04   0.151136E+02   0.283930E-01   0.105216E+03
   336   0.280352E+04   0.152839E+02   0.284899E-01   0.104278E+03
   337   0.277451E+04   0.154535E+02   0.285864E-01   0.103296E+03
   338   0.274572E+04   0.156209E+02   0.286824E-01   0.102292E+03
   339   0.271729E+04   0.157883E+02   0.287779E-01   0.101251E+03
   340   0.268908E+04   0.159535E+02   0.288730E-01   0.100190E+03
   341   0.266109E+04   0.161165E+02   0.289677E-01   0.990839E+02
   342   0.263346E+04   0.162796E+02   0.290619E-01   0.979492E+02
   343   0.260612E+04   0.164397E+02   0.291557E-01   0.967855E+02
   344   0.257915E+04   0.165983E+02   0.292492E-01   0.955927E+02
   345   0.255240E+04   0.167548E+02   0.293423E-01   0.943709E+02
   346   0.252600E+04   0.169106E+02   0.294350E-01   0.931275E+02
   347   0.249990E+04   0.170634E+02   0.295274E-01   0.918476E+02
   348   0.247416E+04   0.172141E+02   0.296195E-01   0.905386E+02
   349   0.244871E+04   0.173633E+02   0.297113E-01   0.892005E+02
   350   0.242363E+04   0.175096E+02   0.298029E-01   0.878408E+02
   351   0.239905E+04   0.176545E+02   0.298942E-01   0.864520E+02
   352   0.237462E+04   0.177972E+02   0.299852E-01   0.850341E+02
   353   0.235062E+04   0.179370E+02   0.300760E-01   0.836019E+02
   354   0.232691E+04   0.180746E+02   0.301667E-01   0.821331E+02
   355   0.230363E+04   0.182101E+02   0.302571E-01   0.806426E+02
   356   0.228072E+04   0.183434E+02   0.303474E-01   0.791378E+02
   357   0.225817E+04   0.184738E+02   0.304376E-01   0.776039E+02
   358   0.223606E+04   0.186006E+02   0.305276E-01   0.760556E+02
   359   0.221423E+04   0.187252E+02   0.306175E-01   0.744780E+02
   360   0.219284E+04   0.188476E+02   0.307074E-01   0.728825E+02
   361   0.217182E+04   0.189672E+02   0.307972E-01   0.712643E+02
   362   0.215123E+04   0.190838E+02   0.308869E-01   0.696266E+02
   363   0.213100E+04   0.191983E+02   0.309766E-01   0.679715E+02
   364   0.211121E+04   0.193084E+02   0.310663E-01   0.662952E+02
   365   0.209178E+04   0.194164E+02   0.311561E-01   0.646038E+02
   366   0.207279E+04   0.195215E+02   0.312458E-01   0.628942E+02
   367   0.205424E+04   0.196222E+02   0.313356E-01   0.611687E+02
   368   0.203597E+04   0.197208E+02   0.314255E-01   0.594286E+02
   369   0.201829E+04   0.198165E+02   0.315155E-01   0.576718E+02
   370   0.200097E+04   0.199086E+02   0.316055E-01   0.559035E+02
   371   0.198402E+04   0.199971E+02   0.316957E-01   0.541198E+02
   372   0.196750E+04   0.200827E+02   0.317860E-01   0.523253E+02
   373   0.195141E+04   0.201646E+02   0.318765E-01   0.505170E+02
   374   0.193577E+04   0.202437E+02   0.319671E-01   0.486985E+02
   375   0.192049E+04   0.203192E+02   0.320580E-01   0.468699E+02
   376   0.190571E+04   0.203918E+02   0.321490E-01   0.450310E+02
   377   0.189138E+04   0.204601E+02   0.322403E-01   0.431849E+02
   378   0.187741E+04   0.205248E+02   0.323317E-01   0.413286E+02
   379   0.186387E+04   0.205866E+02   0.324235E-01   0.394666E+02
   380   0.185085E+04   0.206455E+02   0.325155E-01   0.375964E+02
   381   0.183819E+04   0.206979E+02   0.326078E-01   0.357212E+02
   382   0.182589E+04   0.207489E+02   0.327004E-01   0.338416E+02
   383   0.181410E+04   0.207955E+02   0.327933E-01   0.319562E+02
   384   0.180283E+04   0.208379E+02   0.328865E-01   0.300685E+02
   385   0.179184E+04   0.208781E+02   0.329801E-01   0.281772E+02
   386   0.178136E+04   0.209140E+02   0.330740E-01   0.262844E+02
   387   0.177125E+04   0.209455E+02   0.331683E-01   0.243901E+02
   388   0.176158E+04   0.209735E+02   0.332630E-01   0.224957E+02
   389   0.175234E+04   0.209956E+02   0.333581E-01   0.206013E+02
