#    L    TT             EE             TE             PP             TP          
   157   0.450012E+04   0.982954E+00  -0.438462E+02   0.299195E+07   0.357430E+04
   158   0.453015E+04   0.975525E+00  -0.436916E+02   0.297406E+07   0.354096E+04
   159   0.455989E+04   0.967671E+00  -0.435122E+02   0.295632E+07   0.350797E+04
   160   0.458941E+04   0.959538E+00  -0.433065E+02   0.293873E+07   0.347535E+04
   161   0.461869E+04   0.951201E+00  -0.430760E+02   0.292129E+07   0.344308E+04
   162   0.464768E+04   0.942512E+00  -0.428208E+02   0.290400E+07   0.341118E+04
   163   0.467652E+04   0.933544E+00  -0.425392E+02   0.288686E+07   0.337964E+04
   164   0.470490E+04   0.924371E+00  -0.422327E+02   0.286986E+07   0.334847E+04
   165   0.473313E+04   0.914919E+00  -0.418993E+02   0.285301E+07   0.331766E+04
   166   0.476106E+04   0.905335E+00  -0.415402E+02   0.283631E+07   0.328722E+04
   167   0.478876E+04   0.895397E+00  -0.411563E+02   0.281974E+07   0.325715E+04
   168   0.481600E+04   0.885476E+00  -0.407454E+02   0.280332E+07   0.322745E+04
   169   0.484294E+04   0.875275E+00  -0.403073E+02   0.278705E+07   0.319812E+04
   170   0.486958E+04   0.865015E+00  -0.398437E+02   0.277091E+07   0.316916E+04
   171   0.489576E+04   0.854697E+00  -0.393522E+02   0.275491E+07   0.314058E+04
   172   0.492155E+04   0.844245E+00  -0.388344E+02   0.273905E+07   0.311237E+04
   173   0.494689E+04   0.833660E+00  -0.382903E+02   0.272333E+07   0.308454E+04
   174   0.497192E+04   0.823239E+00  -0.377197E+02   0.270774E+07   0.305708E+04
   175   0.499657E+04   0.812684E+00  -0.371221E+02   0.269229E+07   0.303001E+04
   176   0.502068E+04   0.802217E+00  -0.364973E+02   0.267697E+07   0.300331E+04
   177   0.504441E+04   0.791763E+00  -0.358469E+02   0.266178E+07   0.297698E+04
   178   0.506768E+04   0.781545E+00  -0.351694E+02   0.264673E+07   0.295102E+04
   179   0.509049E+04   0.771265E+00  -0.344649E+02   0.263180E+07   0.292541E+04
   180   0.511300E+04   0.761144E+00  -0.337346E+02   0.261701E+07   0.290014E+04
   181   0.513498E+04   0.751182E+00  -0.329788E+02   0.260234E+07   0.287520E+04
   182   0.515650E+04   0.741452E+00  -0.321959E+02   0.258780E+07   0.285059E+04
   183   0.517750E+04   0.731880E+00  -0.313874E+02   0.257338E+07   0.282630E+04
   184   0.519812E+04   0.722539E+00  -0.305525E+02   0.255909E+07   0.280231E+04
   185   0.521828E+04   0.713575E+00  -0.296936E+02   0.254491E+07   0.277863E+04
   186   0.523763E+04   0.704849E+00  -0.288075E+02   0.253086E+07   0.275523E+04
   187   0.525682E+04   0.696499E+00  -0.278959E+02   0.251693E+07   0.273211E+04
   188   0.527549E+04   0.688511E+00  -0.269602E+02   0.250312E+07   0.270926E+04
   189   0.529356E+04   0.680921E+00  -0.259989E+02   0.248943E+07   0.268667E+04
   190   0.531148E+04   0.673779E+00  -0.250142E+02   0.247585E+07   0.266434E+04
   191   0.532851E+04   0.667107E+00  -0.240032E+02   0.246238E+07   0.264225E+04
   192   0.534517E+04   0.660928E+00  -0.229682E+02   0.244903E+07   0.262040E+04
   193   0.536123E+04   0.655284E+00  -0.219105E+02   0.243579E+07   0.259877E+04
   194   0.537693E+04   0.650204E+00  -0.208281E+02   0.242266E+07   0.257735E+04
   195   0.539203E+04   0.645726E+00  -0.197230E+02   0.240964E+07   0.255614E+04
   196   0.540654E+04   0.641885E+00  -0.185946E+02   0.239673E+07   0.253514E+04
   197   0.542061E+04   0.638724E+00  -0.174444E+02   0.238393E+07   0.251432E+04
   198   0.543417E+04   0.636266E+00  -0.162716E+02   0.237123E+07   0.249368E+04
   199   0.544721E+04   0.634548E+00  -0.150770E+02   0.235863E+07   0.247321E+04
   200   0.545974E+04   0.633596E+00  -0.138613E+02   0.234614E+07   0.245290E+04
   201   0.547169E+04   0.633472E+00  -0.126238E+02   0.233375E+07   0.243274E+04
   202   0.548312E+04   0.634180E+00  -0.113660E+02   0.232146E+07   0.241274E+04
   203   0.549396E+04   0.635780E+00  -0.100870E+02   0.230927E+07   0.239289E+04
   204   0.550414E+04   0.638292E+00  -0.878990E+01   0.229718E+07   0.237319E+04
   205   0.551381E+04   0.641761E+00  -0.747243E+01   0.228519E+07   0.235364E+04
   206   0.552282E+04   0.646223E+00  -0.613583E+01   0.227329E+07   0.233424E+04
   207   0.553131E+04   0.651699E+00  -0.478055E+01   0.226149E+07   0.231498E+04
   208   0.553907E+04   0.658240E+00  -0.340708E+01   0.224979E+07   0.229587E+04
   209   0.554624E+04   0.665868E+00  -0.201580E+01   0.223818E+07   0.227690E+04
   210   0.555282E+04   0.674633E+00  -0.607571E+00   0.222667E+07   0.225809E+04
